id_num,player_id,house,gender,age,weight,foul_type_id,game_move_id,penalty_id,game_duration,player_code,move_specialty,num_game_moves,num_game_losses,num_practice_sessions,num_games_satout,num_games_injured,num_games_notpartof,player_type,num_games_won,snitchnip,stooging,body_blow,checking,dopplebeater_defence,hawkshead_attacking_formation,no_hands_tackle,power_play,sloth_grip_roll,spiral_dive,starfish_and_stick,twirl,wronski_feint,zig-zag,bludger_backbeat,chelmondiston_charge,dionysus_dive,double_eight_loop,finbourgh_flick,reverse_pass,parkins_pincer,plumpton_pass,porskoff_ploy,transylvanian_tackle,woollongong_shimmy,change,snitch_caught,quidditch_league_player
11,89869032,1,0,14.5,3,1,1,7,9,3,3,47,2,17,0,0,0,Beater1,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
12,77391171,1,1,15.5,3,2,1,4,7,3,3,62,0,11,0,0,0,Captain,7,0ne,0ne,0,0,0,0,0,0,0,Up,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,YES
13,85504905,0,0,14.5,3,1,3,7,7,3,specialty12,60,0,15,0,1,0,Chaser1,8,0ne,0ne,Steady,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,YES
14,77586282,0,1,16.5,3,1,6,7,10,3,specialty12,55,1,31,0,0,0,Chaser1,8,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
15,49726791,1,0,15.5,3,3,1,2,1,3,3,49,5,2,0,0,0,Chaser2,8,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
16,86328819,1,1,15.5,3,1,3,7,12,3,3,75,5,13,0,0,0,Beater2,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up,0,0,0,0,0,Ch,1,NO
17,92519352,1,1,15,3,1,1,7,4,3,3,45,4,17,0,0,0,Chaser1,8,0ne,0ne,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,YES
18,108662661,0,0,15,3,1,1,7,3,3,specialty4,29,0,11,0,0,0,Multiple,3,0ne,0ne,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO
19,107389323,1,1,16,3,1,1,7,5,3,3,35,5,23,0,0,0,Chaser1,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
20,69422211,3,1,16,3,3,6,2,6,3,3,42,2,23,0,0,0,Keeper,8,0ne,0ne,0,0,0,0,0,0,0,Down,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
21,22864131,3,0,15,3,2,1,4,2,3,3,66,1,19,0,0,0,Chaser1,7,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
22,21239181,3,1,15.5,3,2,1,4,2,3,3,36,2,11,0,0,0,Chaser3,6,0ne,0ne,Steady,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
23,63000108,1,0,16,3,2,1,4,2,3,3,47,0,12,0,0,0,Chaser1,8,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO
24,107400762,0,0,16.5,3,2,6,1,11,3,3,42,2,19,0,0,0,Multiple,8,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO
25,62718876,1,0,16,3,3,1,2,3,3,3,19,4,18,0,0,0,Captain,6,0ne,0ne,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
26,21861756,Other,0,15,3,1,1,7,1,3,3,33,0,7,0,0,0,Chaser2,3,0ne,0ne,Steady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO
27,40523301,0,1,16.5,3,1,3,7,6,3,specialty4,64,3,18,0,0,0,Chaser1,7,0ne,>7,Steady,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ch,1,NO
28,115196778,0,0,15,3,1,1,1,2,3,specialty63,25,2,11,0,0,0,Beater2,3,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
29,41606064,0,1,13,3,2,1,2,10,3,3,53,0,20,0,0,0,Multiple,6,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
30,18196434,0,0,16.5,3,1,2,7,5,3,specialty4,52,0,14,0,0,0,Chaser1,8,0ne,0ne,Steady,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ch,1,NO
31,56480238,1,0,15.5,3,1,1,7,6,3,3,87,0,18,0,0,0,Seeker,9,0ne,0ne,0,0,0,0,0,0,0,Up,0,0,0,Steady,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
32,96664626,1,1,16,3,1,5,7,1,3,3,53,0,10,0,0,0,Chaser2,8,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
33,80845353,0,0,16,3,1,1,7,6,3,specialty12,27,0,16,0,0,0,Beater2,8,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
34,114715242,0,1,15.5,3,2,6,2,5,3,3,37,0,18,0,0,0,Chaser2,8,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
35,3327282,0,0,16,3,2,11,2,5,3,3,46,2,20,0,0,0,Chaser1,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
36,63023292,0,0,15.5,3,1,1,7,2,3,specialty4,41,0,11,0,0,0,Chaser1,6,0ne,0ne,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
37,98427861,0,0,16,3,3,1,2,3,3,3,33,1,8,0,0,0,Captain,5,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
38,112002975,0,0,15.5,3,1,1,7,4,3,3,33,0,12,0,0,0,Chaser2,3,0ne,0ne,Steady,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
39,101002446,0,1,16,3,1,6,7,7,3,3,47,2,22,0,0,0,Beater2,8,0ne,0ne,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
40,104672268,0,1,15,3,2,1,2,1,3,3,44,1,15,0,0,0,Beater2,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
41,80588529,0,0,16,3,1,2,7,1,3,specialty4,28,0,15,0,0,0,Chaser1,4,0ne,0ne,Steady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
42,99715041,0,1,14.5,3,2,1,2,7,3,3,36,2,9,0,0,0,Chaser2,5,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
43,96435585,0,0,16,3,2,1,1,13,3,3,48,2,18,0,0,1,Multiple,8,0ne,0ne,Steady,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
44,66274866,0,1,15,3,1,1,7,3,3,specialty12,59,0,11,0,0,0,Chaser1,6,0ne,0ne,Steady,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
45,80177094,0,0,16.5,3,1,11,7,7,3,3,72,1,27,0,0,0,Chaser1,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
46,106936875,0,0,14.5,3,3,1,2,2,3,3,10,3,8,0,0,0,Seeker,5,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
47,86240259,0,0,16,3,3,5,4,9,3,specialty19,25,3,16,0,0,2,Chaser1,7,0ne,0ne,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,YES
48,51838164,0,1,16,3,3,3,4,9,3,3,2,0,12,0,0,1,Multiple,3,0ne,0ne,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
49,90097839,0,1,15,3,3,1,2,6,3,3,65,5,19,0,0,0,Chaser1,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up,0,0,0,0,0,Ch,1,NO
50,34997814,0,1,15.5,3,2,6,4,11,3,3,67,2,25,0,0,0,Chaser1,9,0ne,0ne,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
51,21820806,1,1,15,3,2,1,2,4,3,3,40,1,14,0,0,0,Captain,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES
52,72200358,0,1,16,3,3,1,2,5,3,3,44,5,13,0,0,0,Beater2,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
53,37746639,1,0,14.5,3,1,6,7,8,3,3,55,2,17,0,0,0,Beater1,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
54,58497651,1,0,15,3,1,1,7,1,3,3,53,0,11,1,0,0,Chaser2,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
55,113848434,3,0,15.5,3,3,1,2,4,3,3,54,4,4,0,0,0,Seeker,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
56,17928900,0,0,15.5,3,2,1,2,6,3,3,58,3,14,0,0,0,Captain,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
57,93232917,1,0,15,3,3,6,2,9,3,3,37,2,19,0,0,1,Beater1,4,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
58,3146373,0,1,14.5,3,2,1,2,1,3,3,36,1,9,0,0,0,Beater2,6,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
59,56714769,1,0,16.5,3,2,6,4,7,3,3,58,1,21,0,0,0,Chaser1,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
60,71778564,0,1,16,3,3,6,4,7,3,3,2,1,8,0,0,1,Beater2,5,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
61,63754317,1,0,16,3,1,1,7,4,3,3,48,2,15,0,1,0,Beater1,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
62,94994802,0,1,15,3,1,2,7,4,3,specialty4,45,0,16,0,0,0,Chaser1,8,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,Down,0,0,0,0,0,Ch,1,NO
63,64729746,1,0,14.5,3,1,3,7,3,3,3,64,0,15,0,0,1,Chaser1,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up,0,0,0,0,0,Ch,1,NO
64,24370299,0,1,16.5,3,1,3,7,4,3,3,57,0,17,0,0,0,Keeper,9,0ne,0ne,0,0,0,0,Steady,0,0,0,0,0,0,0,0,Steady,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
65,110537262,1,0,15,3,1,11,7,4,3,3,58,1,16,0,0,0,Chaser1,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
66,3376278,0,1,12,3,1,5,7,1,3,3,51,0,4,0,0,0,Beater1,1,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up,0,0,0,0,0,Ch,1,NO
67,83775519,0,0,16.5,3,2,1,4,2,3,3,25,1,10,0,0,0,Chaser1,7,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
68,23043240,0,0,15,3,2,1,4,2,3,3,32,3,11,0,0,0,Chaser1,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,YES
69,74447460,0,0,15,3,2,1,2,6,3,3,55,2,7,0,0,0,Multiple,8,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
70,95075649,0,0,16,3,1,6,7,7,3,3,75,2,22,0,0,0,Multiple,7,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES
71,55152216,0,1,15,3,1,1,7,12,3,3,83,2,32,0,0,0,Captain,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up,0,0,0,0,0,Ch,1,NO
72,22655295,0,1,15.5,3,2,1,4,4,3,3,31,0,14,0,0,0,Chaser1,7,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
73,60679647,0,0,16,3,3,1,1,14,3,specialty63,28,3,28,0,0,0,Captain,8,0ne,0ne,Steady,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
74,93196251,0,0,16,3,1,3,7,5,3,specialty4,34,0,17,0,0,1,Chaser1,7,0ne,>7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up,0,0,0,0,0,Ch,1,NO
75,105366150,0,0,16,3,1,1,7,4,3,specialty4,51,0,9,0,0,0,Chaser1,4,0ne,0ne,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO
76,106469577,1,1,15.5,3,1,1,7,1,3,3,58,1,12,0,0,0,Chaser2,6,0ne,0ne,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO
77,100113975,0,0,15.5,3,3,3,1,3,3,specialty28,57,1,21,0,0,0,Keeper,6,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up,0,0,0,0,0,Ch,1,YES
78,34806888,0,0,15,3,2,11,4,2,3,3,35,1,10,1,0,0,Beater2,8,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up,0,0,0,0,0,Ch,1,NO
79,23043240,0,0,15,3,2,1,4,3,3,3,41,4,20,0,0,1,Chaser1,7,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
80,114039603,0,1,16,3,3,1,2,3,3,3,29,1,7,0,0,0,Chaser1,9,0ne,0ne,Steady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
81,21820806,1,1,15,3,1,6,7,3,3,3,52,0,13,0,0,2,Captain,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO
82,101707335,0,0,15,3,1,7,7,5,3,3,58,0,16,1,0,1,Beater2,7,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up,0,0,0,0,0,Ch,1,NO
83,96190083,0,1,15.5,3,1,1,7,1,3,3,59,0,10,0,0,0,Chaser3,7,0ne,0ne,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
84,76197258,Other,1,15.5,3,2,1,4,5,3,3,64,4,14,0,0,0,Chaser1,9,0ne,0ne,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
85,68661747,0,1,14.5,3,1,1,7,3,3,specialty4,39,0,13,0,0,0,Chaser1,7,0ne,0ne,Steady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO
86,64494171,0,0,14.5,3,3,1,2,4,3,3,69,5,25,0,0,0,Chaser1,6,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
87,73921680,3,1,15.5,3,2,3,2,3,3,3,10,1,19,0,0,0,Beater2,7,0ne,0ne,Steady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO
88,57857994,1,1,15.5,3,2,1,4,7,3,3,69,5,16,0,0,0,Chaser1,8,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
89,91181331,0,1,14.5,3,3,1,2,4,3,3,38,1,17,0,0,1,Beater1,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO
90,20830941,0,0,16,3,1,2,7,5,3,specialty4,36,0,14,0,0,0,Chaser1,5,0ne,0ne,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
91,54746082,0,1,16,3,2,6,2,8,3,3,47,3,21,0,0,1,Chaser1,9,0ne,0ne,Steady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
92,91370916,1,1,14.5,3,2,1,2,4,3,3,27,0,12,0,0,1,Beater2,5,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
93,101334321,1,0,15,3,2,1,2,1,3,3,34,1,6,0,0,0,Beater2,4,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
94,22997880,1,0,15.5,3,1,6,7,6,3,3,65,3,18,0,0,0,Chaser1,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
95,79549353,0,1,16,3,2,1,2,1,3,3,19,2,8,0,0,0,Beater2,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
96,106343838,0,0,16,3,1,3,7,5,3,specialty12,64,0,21,0,0,1,Multiple,8,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
97,84981816,0,1,16,3,1,1,7,3,3,3,55,4,23,0,0,1,Chaser1,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down,0,0,0,0,0,Ch,1,NO
98,84488562,Other,0,15,3,1,1,7,2,3,specialty63,53,0,6,0,0,0,Seeker,3,0ne,>8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up,0,0,0,0,0,Ch,1,NO
99,92117574,3,1,14,3,2,6,4,6,3,3,72,2,16,0,0,1,Chaser3,5,0ne,0ne,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
